,"School Repository
English Higher Education in Spain",,,,,
List of Schools,,,,,,
Name of School,,Tuition Range (€),Type,Location,Official Website,LinkedIn
Barcelona Technology School,,17500 ~ 17500,Private,Barcelona,https://barcelonatechnologyschool.com,https://www.linkedin.com/school/barcelona-technology-school/
BEBS Barcelona Executive Business School,,3570 ~ 7140,Private,Barcelona,https://bebs.org,https://www.linkedin.com/school/bebsbarcelona/
C3S Business School Barcelona,,6500 ~ 19500,Private,Barcelona,https://www.csss.es,https://linkedin.com/school/c3sbusinessschool/
"CETT Barcelona School of Tourism, Hospitality and Gastronomy",,,Private,Barcelona,https://www.cett.es/en/,https://www.linkedin.com/company/cett/
CEU Universidad Cardinal Herrera,,6320 ~ 36000,Private,Valencia,https://www.uchceu.com/en,https://www.linkedin.com/school/universidad-ceu-cardenal-herrera/
CUNEF Universidad,,,Private,Madrid,https://www.cunef.edu/en/,https://www.linkedin.com/school/cunef-universidad/
EADA Business School Barcelona,,19500 ~ 78000,Private,Barcelona,https://www.eada.edu/en,https://www.linkedin.com/school/eada
EAE Business School,,14000 ~ 45600,Private,Barcelona / Madrid,https://www.eae.es/en/,https://www.linkedin.com/school/eae-business-school/
Esade Ramon Llull University,,36400 ~ 114500,Private,Barcelona,https://www.esade.edu/en,https://www.linkedin.com/school/esade/
ESEI International Business School Barcelona,,10500 ~ 36600,Private,Barcelona,https://www.eseibusinessschool.com,https://www.linkedin.com/school/eseibarcelona/
ESERP Digital Business & Law School,,8500 ~ 15100,Private,Barcelona / Madrid / Mallorca,https://en.eserp.com/,https://linkedin.com/school/eserp-digital-business-and-law-school/
ESIC University,,14600 ~ 65500,Private,Barcelona / Madrid / Valencia / Sevilla,https://www.esic.edu/en,https://www.linkedin.com/school/esic/
EU Business School,,16350 ~ 49350,Private,Barcelona,https://www.euruni.edu,https://www.linkedin.com/school/eu-business-school/
EUHT StPol,,,,Barcelona,https://www.santpol.edu.es/en/,
EUSES Escola Universitària de la Salut i l'Esport,,,Private,Girona / Tarragona / Barcelona,https://euses.cat/en/,https://www.linkedin.com/school/euses/
Euroaula Escola Universitària,,,Private,Barcelona,https://www.euroaula.com/en/home,https://www.linkedin.com/school/euroaula-escuela-universitaria/
GBSB Global Business School Barcelona,,8900 ~ 32250,Private,Barcelona / Madrid,https://www.global-business-school.org,https://www.linkedin.com/school/gbsb-global-business-school/
Geneva Business School,,17985 ~ 47700,Private,Barcelona / Madrid,https://gbsge.com,https://www.linkedin.com/school/geneva-business-school/
"HTL International School of Hospitality, Tourism & Languages",,4000 ~ 24000,Private,Barcelona / Madrid / Valencia,https://www.htlinternationalschool.com,https://www.linkedin.com/school/htl-international-school-of-hospitality-tourism-and-languages/
IE University,,36000 ~ 150000,Private,Madrid / Segovia,https://www.ie.edu/university/,https://www.linkedin.com/school/ie-university/
IESE Business School University of Navarra,,47700 ~ 105000,Private,Barcelona / Madrid,https://www.iese.edu,https://www.linkedin.com/school/iese-business-school/
IMF Smart Education,,N/A,Private,Madrid / Málaga,https://www.imf-formacion.com,https://www.linkedin.com/school/imf-smart-education/
"INSA Business, Marketing & Communication School",,2900 ~ 22200,Private,Barcelona,https://insabarcelona.com/en/,https://www.linkedin.com/company/insa-business-school/
